Number,SAT,Pairs,Evals,Backtracks,Runtime
1217,True,48,18,7,28.500422954559326
1218,True,48,8,3,27.050462245941162
1219,True,47,6,1,26.368537187576294
1220,True,49,7,2,26.537586212158203
1221,True,47,26,9,29.278578281402588
1222,True,42,26,12,32.401169776916504
1223,True,44,42,19,32.97079682350159
1224,True,48,11,5,28.077456951141357
1225,True,43,44,21,35.714518308639526
1226,True,47,10,4,27.8037531375885
1227,True,42,27,12,30.523821592330933
1228,True,47,26,12,29.656641960144043
1229,True,41,116,56,58.490036964416504
1230,True,45,2,0,25.684024333953857
1231,True,49,27,12,30.265225648880005
1232,True,51,19,8,27.707521200180054
1233,True,43,17,7,29.71414566040039
1234,True,44,11,3,28.285127878189087
1235,True,49,4,1,26.474804878234863
1236,True,46,18,8,29.1238751411438
1237,True,51,16,7,28.88808798789978
1238,True,47,19,7,27.550902128219604
1239,True,47,2,0,25.53559970855713
1240,True,45,13,5,26.997289657592773
1241,True,49,2,0,25.876535892486572
1242,True,46,17,7,30.342801809310913
1243,True,46,11,4,29.22248101234436
1244,True,49,30,14,30.923983573913574
1245,True,52,28,12,33.23225140571594
1246,True,43,11,3,29.724016427993774
1247,True,48,23,10,32.27768158912659
1248,True,45,18,8,28.764530181884766
1249,True,45,7,1,25.38627552986145
1250,True,46,54,25,38.03110456466675
1251,True,41,45,22,34.34086346626282
1252,True,47,18,7,29.07373881340027
1253,True,46,18,8,29.436357021331787
1254,True,47,11,4,27.17636489868164
1255,True,42,11,4,27.049675703048706
1256,True,41,9,2,25.884645700454712
1257,True,49,33,15,30.47789978981018
1258,True,40,8,2,25.38368511199951
1259,True,47,10,4,25.348324298858643
1260,True,41,53,23,31.628753423690796
1261,True,44,8,2,24.72508931159973
1262,True,47,26,10,30.873308658599854
1263,True,44,96,47,44.58086037635803
1264,True,43,11,3,26.08020544052124
1265,True,47,3,0,23.945772171020508
1266,True,46,30,14,30.715605974197388
1267,True,49,14,5,27.83695387840271
1268,True,41,33,16,38.285969734191895
1269,True,43,10,4,28.49107074737549
1270,True,46,35,16,30.29850196838379
1271,True,43,8,2,27.34382176399231
1272,True,43,8,1,26.144372940063477
1273,True,44,5,1,25.9145028591156
1274,True,45,4,0,26.13953185081482
1275,True,46,13,4,28.518211841583252
1276,True,46,18,7,27.623283863067627
1277,True,46,16,7,28.38902735710144
1278,True,45,33,15,31.396783351898193
1279,True,44,22,10,29.293155431747437
1280,True,44,15,6,29.78305220603943
1281,True,44,38,18,32.98266124725342
1282,True,47,8,3,25.65070867538452
1283,True,42,12,4,29.660269737243652
1284,True,51,39,19,28.24586820602417
1285,True,44,31,14,32.62255024909973
1286,True,45,3,0,25.233901262283325
1287,True,47,18,7,28.042010068893433
1288,True,50,29,14,29.49156618118286
1289,True,44,10,4,27.583970546722412
1290,True,41,25,12,31.09354853630066
1291,True,46,4,1,26.19912075996399
1292,True,43,10,4,26.146381855010986
1293,True,46,17,7,28.554415464401245
1294,True,44,22,10,32.95154619216919
1295,True,50,25,11,27.93671989440918
1296,True,44,19,9,28.916945219039917
1297,True,46,19,8,30.43183994293213
1298,True,51,28,13,30.423884630203247
1299,True,47,15,7,28.306302785873413
1300,True,45,7,2,26.5739905834198
1301,True,27,76,36,45.566591024398804
1302,True,50,38,18,32.926517486572266
1303,True,48,24,11,31.01902484893799
1304,True,43,14,5,28.730801820755005
1305,True,40,9,3,26.89622211456299
1306,True,48,10,2,26.401922941207886
1307,True,46,27,13,31.584842443466187
1308,True,49,21,8,28.679815530776978
1309,True,49,11,4,27.95355772972107
1310,True,45,48,23,32.34130263328552
1311,True,49,19,9,29.704249620437622
1312,True,46,8,2,26.477104902267456
1313,True,46,26,11,28.15593194961548
1314,True,46,7,1,26.24335765838623
1315,True,45,7,2,26.598653554916382
1316,True,49,9,4,27.519517421722412
1317,True,44,31,15,30.749045848846436
1318,True,50,5,1,25.69793438911438
1319,True,47,13,5,27.22377586364746
1320,True,40,22,10,29.03023052215576
1321,True,45,29,12,27.265394687652588
1322,True,52,22,8,29.255908012390137
1323,True,42,12,5,26.66946840286255
1324,True,46,18,8,30.050294876098633
1325,True,48,11,4,26.692759037017822
1326,True,48,16,7,29.107556343078613
1327,True,44,17,7,28.348839282989502
1328,True,43,13,5,30.218619108200073
1329,True,44,3,0,25.29562997817993
1330,True,46,19,8,28.332943439483643
1331,True,44,10,4,27.683611392974854
1332,True,49,5,0,25.886019229888916
1333,True,51,36,17,32.749250411987305
1334,True,40,29,13,30.17567229270935
1335,True,43,22,10,33.19478511810303
1336,True,30,13,6,30.55418372154236
1337,True,39,48,23,31.681803226470947
1338,True,47,10,3,26.18782615661621
1339,True,47,10,3,26.155384063720703
1340,True,43,5,0,25.75081729888916
1341,True,46,83,40,40.56450867652893
1342,True,47,4,0,26.394100189208984
1343,True,45,4,0,25.58151149749756
1344,True,50,46,20,37.69191765785217
1345,True,46,18,7,28.700971603393555
1346,True,45,33,15,35.66949248313904
1347,True,47,19,8,28.412997007369995
1348,True,31,58,27,35.30746650695801
1349,True,47,25,12,30.69796872138977
1350,True,45,30,14,32.29735565185547
1351,True,32,389,192,88.84796118736267
1352,True,44,7,2,26.109169483184814
1353,True,46,18,7,29.48297929763794
1354,True,46,33,15,29.432164907455444
1355,True,47,39,17,32.49886989593506
1356,True,47,6,1,25.647822618484497
1357,True,49,24,10,29.091050148010254
1358,True,54,4,0,26.20880961418152
1359,True,43,2,0,26.021389722824097
1360,True,44,21,9,29.68001389503479
1361,True,43,22,9,29.902780055999756
1362,True,49,3,0,25.842503547668457
1363,True,46,7,1,26.95100712776184
1364,True,51,12,4,27.359075784683228
1365,True,45,41,18,30.95946168899536
1366,True,47,34,15,32.007951498031616
1367,True,47,96,47,47.318384408950806
1368,True,42,12,4,28.20584774017334
1369,True,28,12,4,29.214367151260376
1370,True,45,13,3,27.402579069137573
1371,True,46,26,12,31.85127305984497
1372,True,41,40,19,35.89630389213562
1373,True,29,12,3,26.74920129776001
1374,True,29,20,7,30.064262866973877
1375,True,29,39,17,36.43075704574585
1376,True,46,6,2,25.924449920654297
1377,True,43,12,5,28.496164321899414
1378,True,48,13,5,26.462878227233887
1379,True,47,10,4,28.20062232017517
1380,True,48,13,3,26.983829021453857
1381,True,52,30,13,32.91034650802612
1382,True,46,34,15,36.91606283187866
1383,True,46,24,11,31.090449333190918
1384,True,50,13,4,27.63992476463318
1385,True,45,15,6,29.605302333831787
1386,True,48,4,0,25.60100269317627
1387,True,41,18,8,30.584286212921143
1388,True,45,41,19,33.36586260795593
1389,True,51,11,4,27.34145164489746
1390,True,44,6,2,24.841498136520386
1391,True,43,24,10,29.12165117263794
1392,True,45,32,14,33.53627252578735
1393,True,51,15,6,27.611788511276245
1394,True,48,7,1,25.81927514076233
1395,True,48,35,16,31.752776384353638
1396,True,46,30,14,32.442835092544556
1397,True,40,8,3,27.4677414894104
1398,True,45,6,1,25.894458055496216
1399,True,49,22,10,29.828112602233887
1400,True,47,27,11,31.90023970603943
1401,True,46,11,3,27.562829732894897
1402,True,30,44,20,35.90514588356018
1403,True,43,29,12,28.694374322891235
